"county_fips","pop_hs_less","pop_hs","pop_college","pop_bs_more","pct_pop_hs_less","pct_pop_hs","pct_pop_college","pct_pop_bs_more","pop_poverty","pct_pop_poverty","med_house_inc","unemploy_rate","pop_labor_force","pop_employed","pop_unemployed"
48201,557077,678269,782296,905727,19.1,23.2,26.8,31,767367,16.5,60241,4.4,2304397,2203924,100473
48203,6591,15027,13781,8360,15.1,34.3,31.5,19.1,9584,14.7,50131,4.4,30028,28720,1308
48205,796,1663,1132,744,18.4,38.4,26.1,17.2,429,9.5,72451,1.8,2890,2837,53
48207,1145,1421,1000,552,27.8,34.5,24.3,13.4,1220,23.1,40880,3.8,2356,2266,90
48209,12773,27163,36131,45518,10.5,22.3,29.7,37.4,28293,13.2,68180,3,114386,111001,3385
48211,501,715,711,513,20.5,29.3,29.1,21,366,9.6,66849,2.1,2285,2237,48
48213,9317,19091,17861,10306,16.5,33.7,31.6,18.2,15718,19.4,43337,3.7,36389,35025,1364
48215,168031,109847,108503,86872,35.5,23.2,22.9,18.4,256985,30,38785,6.6,348672,325791,22881
48217,4257,8357,7400,4132,17.6,34.6,30.6,17.1,4460,12.6,48670,3.6,16326,15734,592
48219,3447,3818,5082,2007,24,26.6,35.4,14,4300,19.5,46764,3.1,11562,11203,359
48221,4357,12296,13663,10698,10.6,30,33.3,26.1,6108,10.2,60917,3.7,26510,25526,984
48223,3956,8800,7090,4449,16.3,36.2,29.2,18.3,5320,14.6,52079,3.4,17354,16770,584
48225,3295,6157,4880,2360,19.7,36.9,29.2,14.1,5323,26.1,39533,3.7,10162,9782,380
48227,5200,8382,8318,3070,20.8,33.6,33.3,12.3,6263,20.6,50423,3.3,13648,13202,446
48229,1263,842,447,188,46.1,30.7,16.3,6.9,838,17.8,42671,4.7,1666,1587,79
48231,9138,21259,18753,11792,15,34.9,30.8,19.3,12715,13.6,53360,3.8,42373,40768,1605
48233,2052,4728,5414,1947,14.5,33.4,38.3,13.8,2708,13,54351,5,9065,8612,453
48235,73,362,402,170,7.2,35.9,39.9,16.9,123,8.1,56775,3.1,771,747,24
48237,1208,2406,1693,766,19.9,39.6,27.9,12.6,1359,17.7,48780,2.5,4444,4333,111
48239,1651,3243,3359,1587,16.8,33,34.1,16.1,1885,12.9,54088,3.3,7412,7169,243
48241,3686,10681,6615,2965,15.4,44.6,27.6,12.4,6682,19.2,47551,6.5,13377,12513,864
48243,254,387,467,598,14.9,22.7,27.4,35.1,284,13.1,51343,3,1082,1050,32
48245,27058,55151,53962,33160,16,32.6,31.9,19.6,44682,18.7,48121,6.3,108181,101322,6859
48247,812,1183,766,387,25.8,37.6,24.3,12.3,1318,25.2,36176,5.7,1875,1768,107
48249,6543,9449,6495,3266,25.4,36.7,25.2,12.7,8552,21.2,41919,5.4,17059,16133,926
48251,16223,36008,34875,19545,15.2,33.8,32.7,18.3,17965,10.7,62635,3.4,79949,77200,2749
48253,3181,5923,3922,1689,21.6,40.3,26.7,11.5,3232,22,43903,4.8,5721,5447,274
48255,2498,3840,2631,1511,23.8,36.6,25.1,14.4,2751,21.8,48743,2.8,6845,6652,193
48257,10550,25276,24654,15799,13.8,33.1,32.3,20.7,14539,11.5,67434,3.5,61846,59700,2146
48259,1985,6088,8908,11768,6.9,21.2,31,40.9,3361,7.5,90937,2.9,21491,20863,628
48261,274,87,24,28,66.3,21.1,5.8,6.8,63,14.3,42153,3.7,242,233,9
48263,104,182,139,131,18.7,32.7,25,23.6,89,13.3,47625,2.4,458,447,11
48265,4279,10207,13169,9496,11.5,27.5,35.4,25.6,7023,13.9,53704,3.2,21848,21143,705
48267,509,1008,1008,715,15.7,31.1,31.1,22.1,760,17.6,42503,3.1,1890,1832,58
48269,23,60,47,29,14.5,37.7,29.6,18.2,38,13.7,57925,2.8,214,208,6
48271,731,979,772,265,26.6,35.6,28.1,9.6,724,21.1,43192,4.7,1257,1198,59
48273,3598,4350,5028,4287,20.8,25.2,29.1,24.8,7369,25,42605,5,13333,12671,662
48275,464,771,675,467,19.5,32.4,28.4,19.6,723,20.4,39726,3.6,1466,1413,53
48277,5201,11329,11230,5916,15.4,33.6,33.3,17.6,7066,14.4,45767,3.8,23954,23049,905
48279,2167,2720,2133,1331,25.9,32.6,25.5,15.9,2587,20,42700,4.4,5247,5015,232
48281,1362,4052,6121,2881,9.4,28.1,42.5,20,2713,12.9,55151,3.7,9243,8900,343
48283,1606,2150,639,664,31.7,42.5,12.6,13.1,1737,29.6,40072,2.4,4599,4487,112
48285,2022,5654,3762,2294,14.7,41.2,27.4,16.7,2644,13.5,51128,3.2,8784,8507,277
48287,1865,4253,3618,1836,16.1,36.8,31.3,15.9,2049,12.3,55834,3.1,9425,9132,293
48289,2117,4664,3277,1967,17.6,38.8,27.3,16.4,2679,15.6,47065,5,6155,5846,309
48291,12071,20993,15267,5056,22.6,39.3,28.6,9.5,12252,15.1,52577,5.8,32303,30414,1889
48293,3040,5611,5188,2260,18.9,34.9,32.2,14,4860,22.2,43226,4.7,8399,8006,393
48295,406,757,669,443,17.8,33.3,29.4,19.5,397,12,57332,2.7,1657,1612,45
48297,1828,3028,2775,1156,20.8,34.5,31.6,13.2,2067,18.7,48814,3.8,5233,5036,197
48299,2321,4295,5695,4251,14,25.9,34.4,25.7,2628,12.3,54019,3.7,8543,8230,313
48301,17,15,43,0,22.7,20,57.3,0,5,3.3,78637,3.9,102,98,4
48303,25227,46606,54067,51557,14.2,26.3,30.5,29.1,52037,17.6,50377,3.1,157225,152414,4811
48305,909,1126,1077,693,23.9,29.6,28.3,18.2,1063,18.3,43436,3.2,2772,2682,90
48307,1139,1741,1749,1086,19.9,30.5,30.6,19,1449,18.5,42719,3.3,3753,3628,125
48309,23575,41380,49587,35492,15.7,27.6,33.1,23.7,46457,18.9,48858,3.6,118786,114544,4242
48311,45,200,111,108,9.7,43.1,23.9,23.3,82,11.1,64633,1.9,740,726,14
48313,1939,3754,2675,1321,20,38.7,27.6,13.6,2122,17.9,45445,4.4,4582,4381,201
48315,1250,3083,2114,1126,16.5,40.7,27.9,14.9,2135,21.9,38011,4.6,4260,4065,195
